dirjeux (44);;;;;;;;
Nom du jeu;Éditeur;Type;Notice;Zone plan;Zone bénévole;À animer;Reçu;Vidéo
Forteresse;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/forteresse;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;https://www.youtube.com/watch?v=WIaJjMA9Ddc
L'Aventurier;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Lièvres et renards;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
La Nuit des Fantômes;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Les 3 petits cochons;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Bahuts malins;Smart Games;Enfants;https://ludotheque.ath.be/les-regles-de-nos-jeux/2992-bahuts-malins.pdf;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Camelot Jr;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/camelot-jr;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Le Petit Chaperon Rouge;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
IQ-Fit;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
IQ-Link;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
IQ-Puzzler;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Alerte ! Astéroïdes;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/alerte-ast%C3%A9ro%C3%AFdes;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Cache Noisettes !;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/cache-noisettes;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Little Action;Djeco;Enfants;http://www.djeco.com/data/rules/DJ08557_FR.pdf;Esplanade-Droite 4;Esplanade-Droite 4;;oui;
Woolfy;Djeco;Enfants;http://www.djeco.com/data/rules/DJ08427_FR.pdf;Esplanade-Droite 4;Esplanade-Droite 4;;oui;https://www.youtube.com/watch?v=4e6ShJymQis
Smile Life;Smile Life;Tout public;https://www.play-in.com/pdf/rules_games/smile_life_regles_fr.pdf;Esplanade-Droite 1;Esplanade-Droite 1;oui;non;https://www.youtube.com/watch?v=dsDT5zhiCjU
Ligretto;Schmidt Spiele;Tout public;https://www.schmidtspiele.de/files/Produkte/0/01301%20-%20Ligretto%C2%AE%20rot/01107_Ligretto_DE-FR-ITpdf.pdf;Antigone-Sud 3;Antigone-Sud 3;oui;non;
Très futé !;Schmidt Spiele;Tout public;https://cdn.1j1ju.com/medias/6e/2f/13-tres-fute-regle.pdf;Antigone-Sud 3;Antigone-Sud 3;oui;non;https://videoregles.net/videoregle/tres-fute
Le bois des Couadsous;Jeux Opla;Enfants;https://www.jeux-opla.fr/wp-content/uploads/Le-Bois-des-Couadsous-english-rules.pdf;Esplanade-Centre 5;Esplanade-Centre 5;;non;
Code couleurs;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/code-couleur;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Il était une ferme;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
L'Atlantide;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
L'Odyssée des Grenouilles;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Mini Rogue;Nut’s Publishing ;Experts;https://www.nutspublishing.com/eshop/doc/minirogue/Mini-Rogue-EN-Base-Game-Rules.pdf;Esplanade-Gauche 3;Esplanade-Gauche 3a;;non;
Pas vu, pas pris !;Letheia;Tout public;https://www.letheia-games.com/_files/ugd/721fc2_630afabefdfb471ea899b42a3f45905b.pdf;Esplanade-Gauche 1;Esplanade-Gauche 1a;;oui;https://www.letheia-games.com/pas-vu-pas-pris
Sushi Go Party;Cocktail Games;Tout public;https://www.cocktailgames.com/wp-content/uploads/2022/01/Sushi_go_party_regles.pdf;Esplanade-Droite 1;Esplanade-Droite 1;oui;non;https://www.youtube.com/watch?v=TVI2Z8HHzAY
Kluster;Borderline éditions;Tout public;https://cdn.shopify.com/s/files/1/0566/3821/0205/files/Kluster-rules-A4-12_compressed.pdf?v=1636361905;Antigone-Sud 1;Antigone-Sud 1c;;non;
Dig Your Way Out;Borderline éditions;Tout public;https://cdn.shopify.com/s/files/1/0566/3821/0205/files/DYWO_RULEBOOK_FR-min.pdf?v=1638872261;Esplanade-Centre 5;Esplanade-Centre 5;;non;
La Marche du Crabe;Jeux Opla;Tout public;https://www.youtube.com/watch?v=yisdcnYGndo&t=5s;Esplanade-Centre 5;Esplanade-Centre 5;;non;
Little Cooperation;Djeco;Tout public;https://bit.ly/Littlecooperation_Djeco;Esplanade-Droite 4;Esplanade-Droite 4;;oui;
Monstres sous le Lit;Smart Games;Tout public;https://www.smartgames.eu/fr/jeux-pour-1-joueur/monstres-sous-le-lit;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Les Pingouins Plongeurs;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/les-pingouins-plongeurs;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Pirates en Vue !;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/pirates-en-vue;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;https://www.youtube.com/watch?v=NpkbxRicDMM
Jumping la Compétition;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/jumping-la-comp%C3%A9tition;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
IQ Stars;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-stars;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Heredity;Darucat;Tout public;;Antigone-Sud 1;Antigone-Sud 1;oui;non;
Clinic Rush;Geek Attitude Games;Tout public;https://www.geekattitudegames.com/wp-content/uploads/2020/09/r%C3%A8gles-Clinic-Rush-FR.pdf;Antigone-Sud 4;Antigone-Sud 4c;;non;
Pessoa;Geek Attitude Games;Initiés;https://cdn.1j1ju.com/medias/27/39/7a-pessoa-regle.pdf;Antigone-Sud 4;Antigone-Sud 4c;;non;https://www.youtube.com/watch?v=5wdlnmurufg
K3;Helvetiq;Tout public;https://mcusercontent.com/228830d2daf74d54c2935571c/files/783106ba-8da2-9fa7-8659-1db672cf6f3c/K3_DP.01.pdf;Esplanade-Centre 5;Esplanade-Centre 5;;oui;
Totemix;Les éditions du Crapaud Céleste;Tout public;https://www.play-in.com/pdf/rules_games/totemix_-_regles_fr.pdf;Antigone-Sud 3;Antigone-Sud 3;oui;non;https://www.youtube.com/watch?v=AiDS92HMB5Y
Living Forest + ext Kodama;Ludonaute;Initiés;;Esplanade-Gauche 2;Esplanade-Gauche 2a;;oui;
Colt Express + Convoyeurs;Ludonaute;Tout public;https://cdn.1j1ju.com/medias/73/bc/cc-colt-express-convoyeurs-train-blinde-regle.pdf;Esplanade-Gauche 2;Esplanade-Gauche 2a;;oui;https://www.youtube.com/watch?v=-UU-S54GAP0
Nimalia;La Boite de Jeu;Tout public;;Esplanade-Gauche 2;Esplanade-Gauche 2b;;oui;
Little Secret;ATM Gaming;Tout public;https://cdn.shopify.com/s/files/1/0567/2986/2204/files/Flyer_Little_Secret.pdf?v=1657630660;Esplanade-Cendre 5;Esplanade-Cendre 5a;;oui;https://littlesecretgame.com/pages/regles-du-jeu
Caral;Blue Cocker Games;Tout public;https://cdn.1j1ju.com/medias/37/cf/08-caral-regle.pdf;Esplanade-Gauche 2;Esplanade-Gauche 2a;;oui;https://www.youtube.com/watch?v=jj9jpl5fRek
Lumen;Lumberjack;Tout public;;Esplanade-Gauche 2;Esplanade-Gauche 2b;;oui;
District Noir;Spiral édition;Tout public;https://cdn.1j1ju.com/medias/2d/85/fb-district-noir-regle.pdf;Esplanade-Gauche 2;Esplanade-Gauche 2b;;oui;https://www.youtube.com/watch?v=MSXO5a_vg6s
Mimetix;Blackrock Games;Tout public;https://cdn.1j1ju.com/medias/e0/22/5e-mimetix-regle.pdf;Esplanade-Gauche 3;Esplanade-Gauche 3b;;oui;https://www.youtube.com/watch?v=49SL-V9Xjvo
La Bête;Multivers;Tout public;https://www.philibertnet.com/fr/index.php?controller=attachment&id_attachment=5956;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
The Lost Code;Ludistri;Initiés;https://cdn.1j1ju.com/medias/4e/2c/b1-the-lost-code-regle.pdf;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;https://www.youtube.com/watch?v=4o7v20zXU8c
La planche des pirates;The Flying Games;Enfants;https://www.play-in.com/pdf/rules_games/la_planche_des_pirates_regles_fr.pdf;Esplanade-Gauche 1;Esplanade-Gauche 1b;;oui;https://www.youtube.com/watch?v=zBQUyG3Iits
Turing Machine;Scorpion Masqué;Initiés;https://cdn.1j1ju.com/medias/db/65/c2-turing-machine-regle.pdf;Esplanade-Gauche 2;Esplanade-Gauche 2b;;oui;https://videoregles.net/videoregle/turing-machine
Flashback Zombie Kids;Scorpion Masqué;Tout public;https://www.scorpionmasque.com/sites/scorpionmasque.com/files/fb_rules_en_18aug2022.pdf;Esplanade-Gauche 1;Esplanade-Gauche 1b;;oui;https://www.youtube.com/watch?v=dmx1ckr9Crw
Clefs magique;Blackrock Games;Enfants;https://cdn.1j1ju.com/medias/5d/6e/3e-clefs-magiques-regle.pdf;Esplanade-Gauche 1;Esplanade-Gauche 1a;;oui;https://www.youtube.com/watch?v=7qqusoMDpiI
Settlement;Blackrock Games;Tout public;https://cdn.1j1ju.com/medias/be/03/2b-settlement-regle.pdf;Esplanade-Gauche 3;Esplanade-Gauche 3b;;oui;https://www.youtube.com/watch?v=7CbKFowxaeY
Toupies voyageuses;Buzzy Games;Enfants;https://en.play-in.com/pdf/rules_games/la_toupie_voyageuse_-_regles_fr.pdf;Esplanade-Gauche 1;Esplanade-Gauche 1a;;oui;https://www.youtube.com/watch?v=a859JQo4dm8
Orichalque;Catch Up Games;Initiés;;Esplanade-Gauche 1;Esplanade-Gauche 1b;;oui;
After US;Catch Up Games;Initiés;https://floriansirieix.fr/ressources/AFTERUS_Rulebook_FR.pdf;Esplanade-Gauche 1;Esplanade-Gauche 1b;;oui;https://www.youtube.com/watch?v=UD1DZX2oX5Q
À la manière d'Arcimboldo;Bankiiiz Editions;Tout public;https://www.dropbox.com/s/hbr3y01wtusbx5w/Rules_Arci_VF.pdf?dl=0;Esplanade-Centre 5;Esplanade-Centre 5;;oui;https://www.youtube.com/watch?v=BDBpw8CLcOs
Gamme Logic - Hôtel;Bankiiiz Editions;Tout public;https://cdn.1j1ju.com/medias/b0/03/cb-gamme-logic-hotel-regle.pdf;Esplanade-Centre 5;Esplanade-Centre 5;;oui;https://www.youtube.com/watch?v=cUxPWqYFmmo
Gamme Logic - Birds;Bankiiiz Editions;Tout public;https://cdn.1j1ju.com/medias/52/e3/3b-gamme-logic-birds-regle.pdf;Esplanade-Centre 5;Esplanade-Centre 5;;oui;https://www.youtube.com/watch?v=y85iFBPKx_Q
That's Not a Hat;Ravensburger;Tout public;https://www.ravensburger.fr/spielanleitungen/ecm/Spielanleitungen/20954%20anl%202257942%20.pdf?ossl=pds_text_Spielanleitung;Esplanade-Centre 4;Esplanade-Centre 4;oui;non;https://www.youtube.com/watch?v=G5g_H1Ua04E
Mindbug;Iello;Tout public;https://iello.fr/wp-content/uploads/2023/01/Mindbug_Rulebook_FR.pdf;Esplanade-Droite 2;Esplanade-Droite 2;;oui;https://videoregles.net/videoregle/mindbug
Cheese Master;Iello;Tout public;https://iello.fr/wp-content/uploads/2023/03/Cheese-Master_Rulebook_FR.pdf;Esplanade-Droite 2;Esplanade-Droite 2;;oui;Vidéo non trouvé, mais règles simples
Starship Captains;Iello;Experts;https://www.play-in.com/pdf/rules_games/starship_captains_regles_fr.pdf;Esplanade-Droite 2;Esplanade-Droite 2;;oui;https://www.youtube.com/watch?v=f9Eh-5h6zVA
Piège obscur;Iello;Experts;https://iello.fr/wp-content/uploads/2022/11/Piege-Obscur_Rulebook_Light.pdf;Esplanade-Droite 2;Esplanade-Droite 2;;oui;https://videoregles.net/videoregle/piege-obscur
L'Année des 5 Empereurs;Game Flow;Experts;https://www.game-flow.fr/assets/image/GameOut/5empereurs/5Empereurs_Rules_Light.pdf;Esplanade-Gauche 1;Esplanade-Gauche 1b;;oui;https://www.youtube.com/watch?v=q831xrJzUNw
Dors Dragon d'Or;Game Flow;Tout public;https://www.game-flow.fr/assets/image/GameOut/Cyclone/Rules_DorsDragonDor_08.pdf;Esplanade-Gauche 1;Esplanade-Gauche 1b;;oui;https://www.youtube.com/watch?v=-TCOY-cFMHg
LE GRAND VOYAGE Migration d’Automne;Betula;Tout public;https://www.dropbox.com/s/2hiubqrngkdsqiz/LivretDeRegles-LeGrandVoyage-%28web%29-FRANCAIS.pdf?dl=0;Esplanade-Centre 4;Esplanade-Centre 4;oui;non;https://www.youtube.com/watch?v=yTwS9ZyiLoE
Le Grand Méchant Monstre;Bankiiiz Editions;Enfants;https://www.dropbox.com/s/xg541zuffviu2al/LGMM_Rules_FR.pdf?dl=0;Esplanade-Gauche 1;Esplanade-Gauche 1a;;oui;https://www.youtube.com/watch?v=Bv8ar2ya1gg
Mon P'tit Everdell;Matagot;Enfants;https://www.youtube.com/watch?time_continue=194&v=N4qbnhdvfaQ&embeds_euri=https%3A%2F%2Fwww.philibertnet.com%2F&feature=emb_logo;Esplanade-Centre 4;Esplanade-Centre 4;;oui;
Kites;Matagot;Tout public;https://www.youtube.com/watch?v=To5_gkMZKJk;Esplanade-Centre 4;Esplanade-Centre 4;;oui;
Farm & Furious;Loki;Enfants;https://loki-kids.com/telechargements/Farm-and-Furious_Rulebook.pdf;Esplanade-Droite 2;Esplanade-Droite 2;;oui;https://www.youtube.com/watch?v=7ZXMuxv4bys
Hâpy Families;Loki;Enfants;https://loki-kids.com/telechargements/Hapy-Families-rulebook.pdf;Esplanade-Droite 2;Esplanade-Droite 2;;oui;
Les Animaux de Baker Street;Iello;Tout public;https://www.philibertnet.com/fr/index.php?controller=attachment&id_attachment=5882;Esplanade-Droite 2;Esplanade-Droite 2;;oui;
Kamon;Cosmoludo;Tout public;https://www.cosmoludo.com/_files/ugd/774d61_3a04f478d43f47beb411c9a2e4fe53ac.pdf;Esplanade-Centre 4;Esplanade-Centre 4;oui;non;
Yoxii;Cosmoludo;Tout public;https://www.cosmoludo.com/_files/ugd/774d61_62ac7cf77c7b43ff80518bfa536d6d7e.pdf;Esplanade-Centre 4;Esplanade-Centre 4;oui;non;https://www.youtube.com/watch?v=-xsdIyKvVe4
Hokito;Cosmoludo;Tout public;https://www.cosmoludo.com/_files/ugd/774d61_60f257ed976d4eab91b3934483493139.pdf;Esplanade-Centre 4;Esplanade-Centre 4;oui;non;
Swip'Sheep;Djeco;Enfants;https://www.djeco.com/data/rules/DJ05145_FR.pdf;Esplanade-Droite 4;Esplanade-Droite 4;;oui;https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Mysterix;Djeco;Enfants;https://www.djeco.com/data/rules/DJ05096_FR.pdf;Esplanade-Droite 4;Esplanade-Droite 4;;oui;
Piou Piou;Djeco;Enfants;https://www.djeco.com/data/rules/DJ05119_FR.pdf;Esplanade-Droite 4;Esplanade-Droite 4;;oui;https://www.youtube.com/watch?v=ohEA2Gs2AyQ
Pin Pon !;Djeco;Enfants;https://www.djeco.com/data/rules/DJ08571_FR.pdf;Esplanade-Droite 4;Esplanade-Droite 4;;oui;https://www.youtube.com/watch?v=74muxZfh4dg
Chipe Cocos;Djeco;Enfants;https://media-library.djeco.com/t-janqmibvjr;Esplanade-Droite 4;Esplanade-Droite 4;;oui;
Pirates Island;Goula;Enfants;https://www.dropbox.com/s/pi1z9wm3oh4z2qa/pirate_island.pdf?dl=0;Esplanade-Droite 4;Esplanade-Droite 4;;oui;
Jungle Panic;Djeco;Enfants;https://media-library.djeco.com/t-janqmibvjr;Esplanade-Droite 4;Esplanade-Droite 4;;oui;
